NtsbNo,EventType,EventDate,City,State,Country,N,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,ProbableCause,Latitude,Longitude,Make,Model,AirCraftCategory,AirportID,AirportName,AmateurBuilt,NumberOfEngines,Scheduled,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,CoordSource
NYC66D0418,ACC,1966-01-01T05:00:00Z,TAUTON,Massachusetts,United States,N1835Y,None,0,0,0,,42.3188,-71.0852,CESSNA,172C,AIR,,TAUNTON,FALSE,1,,INST,91,Substantial,VFR,,state_centroid
MIA66D0399,ACC,1966-01-01T05:00:00Z,FITLER,Mississippi,United States,N2179X,None,0,0,0,,32.3157,-90.2125,CESSNA,337,AIR,,FITLER,FALSE,2,,BUS,91,Substantial,VFR,,state_centroid
MKC66D0337,ACC,1966-01-01T05:00:00Z,PANORO,Iowa,United States,N9551K,None,0,0,0,,41.5725,-93.6105,STINSON,108-2,AIR,,,FALSE,1,,BUS,91,Substantial,IFR,,state_centroid
MIA66F0393,ACC,1965-12-31T05:00:00Z,KISSIMEE,Florida,United States,N7531E,None,0,0,0,,25.784,-80.2101,CHAMPION,7FC,AIR,,KISSIMEE,FALSE,1,,INST,91,Substantial,VFR,,state_centroid
NYC66D0416,ACC,1965-12-31T05:00:00Z,MENDON,Massachusetts,United States,N4409D,None,0,0,0,,42.3188,-71.0852,BEECHCRAFT,G35,AIR,,HOPEDALE-DRAPER,FALSE,1,,PERS,91,Destroyed,VFR,,state_centroid
MIA66F0505,ACC,1965-12-30T05:00:00Z,OCEANWAY,Florida,United States,N527BB,Serious,0,1,3,,25.784,-80.2101,NAVION,A,AIR,,IMESON,FALSE,1,,PERS,91,Substantial,IFR,,state_centroid
LAX66A0051,ACC,1965-12-30T05:00:00Z,S.LUIS OBISPO,California,United States,N7707D,Fatal,4,0,0,,34.1141,-118.4068,PIPER,PA-22,AIR,,,FALSE,1,,PERS,91,Destroyed,IFR,,state_centroid
MIA66F0355,ACC,1965-12-29T05:00:00Z,PINE HALL,North Carolina,United States,N6967A,Minor,0,0,1,,35.2083,-80.8303,CESSNA,172,AIR,,,FALSE,1,,PERS,91,Substantial,VFR,,state_centroid
SEA66A0040,ACC,1965-12-29T05:00:00Z,IRONSIDE,Oregon,United States,N7675Y,Fatal,4,0,0,,45.5371,-122.65,PIPER,PA-30,AIR,,,FALSE,2,,BUS,91,Destroyed,VFR,,state_centroid
FTW66A0060,ACC,1965-12-29T05:00:00Z,REDERICKSBURG,Texas,United States,N4554D,Fatal,3,0,0,,29.786,-95.3885,BEECH,G35,AIR,,,FALSE,1,,,,Destroyed,IFR,RAY A GARDNER,state_centroid
